,Neighborhood,City,Latitude,Longitude
0,Parkwoods,Toronto,43.7587999,-79.3201966
1,Victoria Village,Toronto,43.732658,-79.3111892
2,Regent Park,Toronto,43.6607056,-79.3604569
3,Harbourfront,Toronto,43.6400801,-79.3801495
4,Lawrence Manor,Toronto,43.7220788,-79.4375067
5,Lawrence Heights,Toronto,43.7227784,-79.4509332
6,Queen's Park,Toronto,43.659659,-79.3903399
7,Ontario Provincial Government,Toronto,,
8,Islington Avenue,Toronto,43.6389593,-79.5210499
9,Humber Valley Village,Toronto,43.6664717,-79.5243136
10,Malvern,Toronto,43.8091955,-79.2217008
11,Rouge,Toronto,43.8049304,-79.1658374
12,Don Mills,Toronto,43.775347,-79.3459439
13,Parkview Hill,Toronto,43.7062977,-79.3219073
14,Woodbine Gardens,Toronto,43.7120785,-79.3025673
15,Garden District,Toronto,43.6564995,-79.3771141
16,Ryerson,Toronto,43.6583244,-79.37892515687948
17,Glencairn,Toronto,43.7087117,-79.4406853
18,West Deane Park,Toronto,43.6631995,-79.5685684
19,Princess Gardens,Toronto,43.6404664,-79.3912237
20,Martin Grove,Toronto,43.6534817,-79.3839347
21,Islington,Toronto,43.645335,-79.5248163
22,Cloverdale,Toronto,43.633637,-79.5497447
23,Rouge Hill,Toronto,43.7802711,-79.1304992
24,Port Union,Toronto,43.7755039,-79.1349765
25,Highland Creek,Toronto,43.7901172,-79.1733344
26,Woodbine Heights,Toronto,43.69992,-79.319279
27,St. James Town,Toronto,43.6694032,-79.3727041
28,Humewood-Cedarvale,Toronto,43.6883215,-79.4280805
29,Eringate,Toronto,43.6622732,-79.5765162
30,Bloordale Gardens,Toronto,43.6353169,-79.5636744
31,Old Burnhamthorpe,Toronto,43.6393732,-79.5843869
32,Markland Wood,Toronto,43.63123865,-79.58543401986114
33,Guildwood,Toronto,43.7552251,-79.1982293
34,Morningside,Toronto,43.7826012,-79.2049579
35,West Hill,Toronto,43.7689144,-79.1872905
36,The Beaches,Toronto,43.6710244,-79.296712
37,Berczy Park,Toronto,43.64798435,-79.37539591138858
38,Caledonia-Fairbanks,Toronto,,
39,Woburn,Toronto,43.7598243,-79.2252908
40,Leaside,Toronto,43.7047983,-79.3680904
41,Central Bay Street,Toronto,43.6706485,-79.3898668
42,Christie,Toronto,43.6641106,-79.4184051
43,Cedarbrae,Toronto,43.75646655,-79.22669244258802
44,Hillcrest Village,Toronto,43.6816953,-79.4257118
45,Bathurst Manor,Toronto,43.6655189,-79.4119373
46,Wilson Heights,Toronto,43.7405195,-79.4400172
47,Downsview North,Toronto,43.7492988,-79.462248
48,Thorncliffe Park,Toronto,43.704553,-79.3454074
49,Richmond,Toronto,43.8125891,-79.2633703893962
50,Adelaide,Toronto,43.6504863,-79.37949791351815
51,King,Toronto,43.6489494,-79.3777538
52,Dufferin,Toronto,43.6602019,-79.4357191
53,Dovercourt Village,Toronto,43.6653069,-79.4326362
54,Scarborough Village,Toronto,43.7437422,-79.2116324
