Neighborhood,City,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Parkwoods,Toronto,43.7587999,-79.3201966,Allwyn's Bakery,43.75984035203157,-79.32471879917513,Caribbean Restaurant
Parkwoods,Toronto,43.7587999,-79.3201966,Tim Hortons,43.76066827030228,-79.32636763515987,Café
Parkwoods,Toronto,43.7587999,-79.3201966,LCBO,43.75777384662435,-79.31425673330513,Liquor Store
Parkwoods,Toronto,43.7587999,-79.3201966,A&W,43.760643076161315,-79.3268649067081,Fast Food Restaurant
Parkwoods,Toronto,43.7587999,-79.3201966,Dollarama,43.758135,-79.310672,Discount Store
Parkwoods,Toronto,43.7587999,-79.3201966,Shoppers Drug Mart,43.76085733239677,-79.32496051573521,Pharmacy
Parkwoods,Toronto,43.7587999,-79.3201966,Tim Hortons,43.75829469411578,-79.31230985443108,Coffee Shop
Parkwoods,Toronto,43.7587999,-79.3201966,The Beer Store,43.7582748,-79.3137052,Beer Store
Parkwoods,Toronto,43.7587999,-79.3201966,Food Basics,43.76054899113784,-79.32604520023006,Supermarket
Parkwoods,Toronto,43.7587999,-79.3201966,Staples,43.7583791,-79.3106954,Paper / Office Supplies Store
Parkwoods,Toronto,43.7587999,-79.3201966,Subway,43.758072972398836,-79.31223512364829,Sandwich Place
Parkwoods,Toronto,43.7587999,-79.3201966,Tim Hortons,43.75281395751706,-79.3140672147274,Coffee Shop
Parkwoods,Toronto,43.7587999,-79.3201966,Pizza Pizza,43.76023098701761,-79.32566642761229,Pizza Place
Parkwoods,Toronto,43.7587999,-79.3201966,China Cottage,43.759097495523434,-79.3104188485618,Hakka Restaurant
Parkwoods,Toronto,43.7587999,-79.3201966,TD Canada Trust,43.7574396,-79.3148385,Bank
Parkwoods,Toronto,43.7587999,-79.3201966,Petro-Canada,43.75795,-79.315187,Gas Station
Parkwoods,Toronto,43.7587999,-79.3201966,Second Cup,43.757482276690645,-79.31169510099224,Coffee Shop
Parkwoods,Toronto,43.7587999,-79.3201966,Shoppers Drug Mart,43.75744,-79.312548,Pharmacy
Parkwoods,Toronto,43.7587999,-79.3201966,Petro-Canada,43.763238,-79.318133,Gas Station
Parkwoods,Toronto,43.7587999,-79.3201966,Wild Wing,43.75619568821282,-79.31451382469172,Wings Joint
