,Neighborhood,City,Latitude,Longitude
0,Arbutus Ridge ,Vancouver,49.24630515,-123.15963596031234
1,Downtown ,Vancouver,49.2859975,-123.1273582
2,Dunbar,Vancouver,49.2475814,-123.1849498
3,Fairview ,Vancouver,49.2619557,-123.13040841718826
4,Grandview,Vancouver,49.2625932,-123.068806
5,Hastings,Vancouver,49.277829749999995,-123.04000539682754
6,Kensington,Vancouver,49.14522895,-122.6469165159771
7,Kerrisdale ,Vancouver,49.2209848,-123.1595483795563
8,Killarney ,Vancouver,49.21801175,-123.03711501300283
9,Kitsilano ,Vancouver,49.2694099,-123.155267
10,Marpole ,Vancouver,49.2092233,-123.1361495
11,Mount Pleasant ,Vancouver,49.26404825,-123.09624917307579
12,Oakridge ,Vancouver,49.22661495,-123.12294326439083
13,Renfrew,Vancouver,49.2589451,-123.0452551
14,Riley Park ,Vancouver,49.2448536,-123.10303486729175
15,Shaughnessy ,Vancouver,49.24630515,-123.13840505989171
16,South Cambie ,Vancouver,49.2464639,-123.12160272080624
17,Strathcona ,Vancouver,49.2776935,-123.08853925078753
18,Sunset ,Vancouver,49.2190935,-123.0916654159852
19,Victoria,Vancouver,49.278825049999995,-123.12511052084383
20,West End ,Vancouver,49.2841308,-123.1317949
21,West Point Grey,Vancouver,49.268102150000004,-123.20264254731434
22,Burnaby Heights,Burnaby,49.2867503,-123.0146338
23,Willingdon Heights,Burnaby,49.2812443,-123.006132
24,West Central Valley,Burnaby,49.2505788,-122.8950787
25,Brentwood,Burnaby,49.2664016,-123.001723
26,Capitol Hill,Burnaby,49.2868158,-122.986899
27,Burnaby Lake,Burnaby,49.2449078,-122.9534569054247
28,Government Road,Burnaby,49.250895,-122.9352742
29,Sperling-Broadway,Burnaby,49.2618281,-122.9657945
30,Lochdale,Burnaby,49.2688837,-122.9692528
31,Westridge,Burnaby,49.2844777,-122.9583388
32,Burnaby Mountain,Burnaby,49.2793412,-122.908708
33,Lake City,Burnaby,53.1441119,-6.0617971
34,Lyndhurst,Burnaby,49.25747175,-122.89685036555389
35,Cameron,Burnaby,49.254937049999995,-122.90462105
36,Cariboo-Armstrong,Burnaby,49.2352943,-122.9049781
37,Second Street,Burnaby,49.2917319,-123.01893382576827
38,Edmonds,Burnaby,49.2121286,-122.9592336
39,Stride Avenue,Burnaby,49.2145425,-122.9496751
40,Stride Hill,Burnaby,49.2145425,-122.9496751
41,Big Bend,Burnaby,49.1988827,-122.9872878
42,Sussex-Nelson,Burnaby,49.202992,-123.0041706
43,Suncrest,Burnaby,49.2152614,-123.0225346
44,Maywood,Burnaby,49.22436175,-123.00764922092237
45,Garden Village,Burnaby,49.240557,-123.0086841
46,Marlborough,Burnaby,49.2253957,-122.9915718
47,Windsor,Burnaby,49.2215686,-122.97365342175053
48,Richmond Park,Burnaby,49.2433804,-122.9725459
49,Oakalla,Burnaby,49.2317669,-122.9861014
50,Bridgeview,Surrey,49.2093184,-122.871862
51,Cloverdale,Surrey,49.1242883,-122.72942984609227
52,Crescent Beach,Surrey,49.04249165,-122.88402677391431
53,Douglas,Surrey,49.0058765,-122.7412466
54,Fleetwood,Surrey,49.15413015,-122.78459357197309
55,Fraser Heights,Surrey,49.2028369,-122.7892334
56,Grandview Heights,Surrey,49.0548965,-122.77735384597892
57,Guildford,Surrey,49.188140399999995,-122.77271494180422
58,Newton,Surrey,49.1409113,-122.8506547
59,Ocean Park,Surrey,49.031594,-122.8615246
60,Port Kells,Surrey,49.1622413,-122.6980538
61,Port Mann,Surrey,49.2160712,-122.8233918
62,South Surrey,Surrey,49.0474364,-122.7823022103128
63,Sunnyside,Surrey,49.0459707,-122.7918091
64,Whalley,Surrey,49.1860353,-122.88715980688514
65,Altamont,West Vancouver,49.3430929,-123.2017544
66,Ambleside,West Vancouver,49.327936,-123.1609848
67,British Properties,West Vancouver,49.3508065,-123.1459879
68,Cedardale,West Vancouver,49.3315718,-123.1389263
69,Dundarave,West Vancouver,49.3345423,-123.1808065
70,Hollyburn,West Vancouver,49.3342286,-123.1609848
71,Horseshoe Bay,West Vancouver,49.3744409,-123.2739191
72,Sentinel Hill,West Vancouver,49.3377242,-123.145149
73,West Bay,West Vancouver,49.3434844,-123.2114962
74,NORTH COQUITLAM,Coquitlam,49.2627682,-122.8169542
75,DOWNTOWN,Coquitlam,49.2623533,-122.780793
76,BURKE MOUNTAIN,Coquitlam,49.2964875,-122.7517457
77,COQUITLAM WEST,Coquitlam,49.2627682,-122.8169542
78,BURQUITLAM,Coquitlam,49.2613309,-122.8899378
79,CANYON SPRINGS,Coquitlam,49.28968075,-122.80101331029161
80,CENTRAL COQUITLAM,Coquitlam,49.2627682,-122.8169542
81,COQUITLAM EAST,Coquitlam,49.2627682,-122.8169542
82,CHINESIDE,Coquitlam,49.2709971,-122.8332644
83,CAPE HORN,Coquitlam,49.233268,-122.8368048
84,EAGLE RIDGE,Coquitlam,49.2857309,-122.8188202092345
85,HARBOUR CHINES,Coquitlam,49.2670977,-122.8626559
86,HARBOUR PLACE,Coquitlam,49.2711085,-122.8109911
87,HOCKADAY,Coquitlam,49.2988732,-122.76944433218677
88,MAILLARDVILLE,Coquitlam,49.2390286,-122.8679547
89,MEADOWBROOK,Coquitlam,49.265619099999995,-122.79315987816355
90,RANCH PARK,Coquitlam,49.2641012,-122.8078529
91,RIVER SPRINGS,Coquitlam,49.2907891,-122.7778775
92,SCOTT CREEK,Coquitlam,49.2780138,-122.8076261
93,SUMMIT VIEW,Coquitlam,49.29549525,-122.80660947972899
94,WESTWOOD PLATEAU,Coquitlam,49.3092343,-122.800374
95,WESTWOOD SUMMIT,Coquitlam,49.294170699999995,-122.81899414210169
96,Bridgeport,Richmond,49.195606,-123.1259373
97,Brighouse,Richmond,49.1661928,-123.1357443
98,Burkeville,Richmond,49.189028,-123.146192
99,Finn Slough,Richmond,49.1141078,-123.114177
100,Golden Village,Richmond,49.1824121,-123.1362362
101,Steveston,Richmond,49.1280561,-123.177415512419
102,Canyon Heights,North Vancouver,49.3542759,-123.1296137
103,Cove Cliff,North Vancouver,49.3177442,-122.9511095
104,Deep Cove,North Vancouver,49.326799,-122.950257
105,Lynnmour North,North Vancouver,49.306057,-123.0325065
106,Lynnmour South,North Vancouver,49.306057,-123.0325065
107,Blueridge,North Vancouver,49.3256708,-122.9984707
108,Braemar,North Vancouver,49.23019955,-122.95567759411264
109,Capilano,North Vancouver,49.342203,-123.1115849
110,Carisbrooke,North Vancouver,49.3417404,-123.0739436
111,Central Lynn,North Vancouver,49.3218406,-123.07357429215867
112,Westview,North Vancouver,49.334023,-123.0825193
113,Tempe,North Vancouver,49.334023,-123.0646666
114,Mahon,North Vancouver,49.3283736,-123.0836781
115,Marine-Hamilton,North Vancouver,49.3208536,-123.0961877
116,Lower Lonsdale,North Vancouver,49.3126714,-123.0778397
117,Central Lonsdale,North Vancouver,49.321923,-123.0718699
118,Grand Boulevard,North Vancouver,49.3215208,-123.0594738
119,Cedar Village,North Vancouver,49.3265556,-123.0460842
120,Moodyville,North Vancouver,49.3106661,-123.0561264
121,Upper Capilano,North Vancouver,49.3209992,-123.0972172
