,category,Occurrence
0,Coffee Shop,282
1,Park,170
2,Sushi Restaurant,139
3,Grocery Store,115
4,Café,110
5,Chinese Restaurant,107
6,Sandwich Place,103
7,Japanese Restaurant,103
8,Fast Food Restaurant,92
9,Bank,86
10,Pizza Place,84
11,Restaurant,75
12,Vietnamese Restaurant,72
13,Bakery,69
14,Pharmacy,65
15,Liquor Store,56
16,Gym,54
17,Korean Restaurant,54
18,Italian Restaurant,53
19,Hotel,52
20,Pub,52
21,Burger Joint,50
22,Convenience Store,48
23,Breakfast Spot,46
24,Asian Restaurant,45
25,Bus Stop,44
26,Gym / Fitness Center,42
27,Indian Restaurant,41
28,Ice Cream Shop,39
29,Dessert Shop,38
30,Thai Restaurant,37
31,Clothing Store,37
32,Sporting Goods Shop,37
33,American Restaurant,36
34,Pet Store,35
35,Shopping Mall,35
36,Furniture / Home Store,33
37,Trail,33
38,Bubble Tea Shop,29
39,Gas Station,28
40,Seafood Restaurant,28
41,Brewery,27
42,Greek Restaurant,26
43,Diner,24
44,Bar,24
45,Yoga Studio,24
46,Middle Eastern Restaurant,22
47,Falafel Restaurant,22
48,Cosmetics Shop,22
49,Farmers Market,22
50,Gastropub,22
51,Deli / Bodega,21
52,French Restaurant,21
53,Supermarket,21
54,Salon / Barbershop,19
55,Bookstore,19
56,Mexican Restaurant,19
57,Tea Room,18
58,Electronics Store,18
59,Arts & Crafts Store,17
60,Food Court,17
61,Golf Course,17
62,Discount Store,17
63,Food Truck,16
64,Malay Restaurant,16
65,Theater,16
66,Toy / Game Store,15
67,Hardware Store,14
68,Harbor / Marina,14
69,Department Store,14
70,Vegetarian / Vegan Restaurant,14
71,Juice Bar,14
72,Garden,13
73,Beach,13
74,Frozen Yogurt Shop,13
75,Women's Store,13
76,Ramen Restaurant,13
77,Wine Shop,13
78,Thrift / Vintage Store,13
79,Noodle House,12
80,Spa,12
81,Gift Shop,12
82,Construction & Landscaping,12
83,BBQ Joint,12
84,Bus Station,11
85,Persian Restaurant,11
86,Fish & Chips Shop,10
87,Chocolate Shop,10
88,Pool,10
89,New American Restaurant,9
90,Bagel Shop,9
91,Plaza,9
92,Lounge,9
93,Cantonese Restaurant,9
94,Mediterranean Restaurant,9
95,Movie Theater,9
96,Fried Chicken Joint,9
97,Market,9
98,Garden Center,8
99,Miscellaneous Shop,8
100,Concert Hall,8
101,Music Store,8
102,Light Rail Station,8
103,Skating Rink,8
104,Video Game Store,8
105,Portuguese Restaurant,8
106,Lake,8
107,Donut Shop,8
108,Athletics & Sports,7
109,Train Station,7
110,Art Gallery,7
111,Scenic Lookout,7
112,Flower Shop,7
113,Taiwanese Restaurant,7
114,Taco Place,7
115,Event Space,6
116,Boat or Ferry,6
117,Soccer Field,6
118,Playground,6
119,Rental Car Location,6
120,Dim Sum Restaurant,6
121,Smoothie Shop,5
122,Jewelry Store,5
123,Metro Station,5
124,Hot Dog Joint,5
125,Health Food Store,5
126,Shipping Store,5
127,Food & Drink Shop,5
128,Theme Park Ride / Attraction,5
129,Lingerie Store,5
130,Ethiopian Restaurant,5
131,Big Box Store,5
132,Brazilian Restaurant,5
133,Dog Run,5
134,Salad Place,4
135,Latin American Restaurant,4
136,Tennis Court,4
137,Performing Arts Venue,4
138,Baseball Field,4
139,Bus Line,4
140,Filipino Restaurant,4
141,Massage Studio,4
142,Medical Center,4
143,Karaoke Bar,4
144,Music Venue,4
145,Hotpot Restaurant,4
146,Men's Store,4
147,Board Shop,4
148,Gourmet Shop,4
149,Office,4
150,History Museum,4
151,Record Shop,3
152,Smoke Shop,3
153,Recreation Center,3
154,Shanghai Restaurant,3
155,Optical Shop,3
156,Shoe Store,3
157,Auto Dealership,3
158,Other Great Outdoors,3
159,Warehouse Store,3
160,Outdoor Supply Store,3
161,Paper / Office Supplies Store,3
162,Nightclub,3
163,Sports Bar,3
164,Border Crossing,3
165,Beer Store,3
166,Storage Facility,3
167,Bowling Alley,3
