Neighborhood,City,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Arbutus Ridge ,Metro Vanouver,49.24630515,-123.15963596031234,The Patty Shop,49.250680286551926,-123.16791618888072,Caribbean Restaurant
Arbutus Ridge ,Metro Vanouver,49.24630515,-123.15963596031234,The Arbutus Club,49.24850716362166,-123.15215193077867,Event Space
Arbutus Ridge ,Metro Vanouver,49.24630515,-123.15963596031234,Quilchena Park,49.24519378222783,-123.15121143638962,Park
Arbutus Ridge ,Metro Vanouver,49.24630515,-123.15963596031234,Butter Baked Goods,49.242209327685536,-123.17038089631828,Bakery
Arbutus Ridge ,Metro Vanouver,49.24630515,-123.15963596031234,La Buca,49.25054949418862,-123.16793319878863,Italian Restaurant
Arbutus Ridge ,Metro Vanouver,49.24630515,-123.15963596031234,Starbucks,49.24476762328613,-123.15389126943143,Coffee Shop
Arbutus Ridge ,Metro Vanouver,49.24630515,-123.15963596031234,Subway,49.244558336641234,-123.15397490622523,Sandwich Place
Arbutus Ridge ,Metro Vanouver,49.24630515,-123.15963596031234,Dollarama,49.24888489703194,-123.15404872082745,Discount Store
Arbutus Ridge ,Metro Vanouver,49.24630515,-123.15963596031234,Wakwak Burger,49.252430278119675,-123.15995440067987,Food Truck
Arbutus Ridge ,Metro Vanouver,49.24630515,-123.15963596031234,7-Eleven,49.23842033767125,-123.1559388022502,Convenience Store
Arbutus Ridge ,Metro Vanouver,49.24630515,-123.15963596031234,BC Liquor Store,49.24873267954043,-123.15467133920458,Liquor Store
Arbutus Ridge ,Metro Vanouver,49.24630515,-123.15963596031234,Finest at Sea,49.24461483893927,-123.15376871679226,Seafood Restaurant
Arbutus Ridge ,Metro Vanouver,49.24630515,-123.15963596031234,APT South,49.2489952779319,-123.15400552892345,Gym
Arbutus Ridge ,Metro Vanouver,49.24630515,-123.15963596031234,Arbutus Club Gymnasium,49.24823712261379,-123.15261949306645,Basketball Court
Arbutus Ridge ,Metro Vanouver,49.24630515,-123.15963596031234,Arbutus Club Bistro,49.24855246026496,-123.15222920964162,Burger Joint
Arbutus Ridge ,Metro Vanouver,49.24630515,-123.15963596031234,Barktholomews Pet Supplies,49.24274622156807,-123.17019281603234,Pet Store
Arbutus Ridge ,Metro Vanouver,49.24630515,-123.15963596031234,Magic Box Hobbies,49.238527,-123.155476,Hobby Shop
Arbutus Ridge ,Metro Vanouver,49.24630515,-123.15963596031234,Comebuy,49.238042,-123.155616,Bubble Tea Shop
Arbutus Ridge ,Metro Vanouver,49.24630515,-123.15963596031234,Sushi King House,49.23773908677557,-123.15545797701616,Sushi Restaurant
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Ramen Danbo,49.287405513071484,-123.12902819393214,Ramen Restaurant
Downtown ,Metro Vanouver,49.2859975,-123.1273582,MUJI 無印良品,49.28531661686063,-123.12514399719639,Miscellaneous Shop
Downtown ,Metro Vanouver,49.2859975,-123.1273582,CinCin,49.28540195093551,-123.12603469495473,Italian Restaurant
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Miko Sushi,49.28740231300849,-123.12905965299217,Sushi Restaurant
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Breka Bakery & Café,49.28585411445341,-123.12715644115154,Bakery
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Konbiniya,49.28650114050235,-123.1275229149609,Convenience Store
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Joe Fortes Seafood & Chop House,49.28501742069146,-123.12440986218266,Seafood Restaurant
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Ladurée,49.285381,-123.125571,Dessert Shop
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Equinox West Georgia Street,49.286166751822236,-123.12405050693361,Gym
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Forage,49.287356794873574,-123.12899488649023,Restaurant
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Shangri-La Hotel,49.28593423238485,-123.12408050709615,Hotel
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Loden Hotel,49.28769003824368,-123.12357426652729,Hotel
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Bombay Brow Bar,49.285529031396614,-123.12396600606039,Cosmetics Shop
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Horin Ramen + Sake,49.28625184283856,-123.12744092693404,Ramen Restaurant
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Guu Original,49.28415096995824,-123.12550872715728,Japanese Restaurant
